DN,geometry,mndwi,ndvi2,b5b4,b6b4,b7b4,b8ab4,b8b4,evi,nrvi,ndwi,gndvi,ndvi,b3b2,b3b4,oc2,b3b1,oc4,Fecha
5,"POLYGON ((-72.14632662759655 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.2502498661213))",0.8371376,0.33109906,0.9739113,1.0349354,1.3699056,1.1641692,1.2550333,-0.0024241640312488,-0.023157744,0.71818703,-0.71818703,0.023157744,0.92328656,7.6788244,1.7033714542922922,0.8874667,1.6221993162719213,2019-02-25
6,"POLYGON ((-72.06339416056665 -39.2502498661213, -71.98046169353672 -39.2502498661213, -71.98046169353672 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.2502498661213))",0.69120055,0.19509743,0.7965323,0.8191954,1.0810902,0.9395997,0.98089063,0.0063196072397654,0.021278743,0.61247265,-0.61247265,-0.021278743,0.86763084,5.6426744,1.8214646850460063,0.90999055,1.997487161421396,2019-02-25
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.48017773,0.22153807,0.56861967,0.65626496,0.8723262,0.69741136,0.79827625,0.0380180699279342,0.010616811,0.3540548,-0.3540548,-0.010616811,0.49869564,2.3699179,0.7922013492033481,0.8771523,0.8806978825566268,2021-03-21
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.52318394,-0.042789605,0.33908704,0.75582117,1.033399,1.3968815,2.2323153,0.0374085924746659,0.08172388,0.5442332,-0.5442332,-0.08172388,0.9963436,22.758236,48192809420.32013,3.5781846,7.0101743948182085,2021-05-05
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -71.98046169353672 -39.29171609963626, -71.98046169353672 -39.2502498661213, -72.02192792705168 -39.2502498661213, -72.02192792705168 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.014802754,0.00609263,0.25794917,0.2686349,0.27508566,0.27496636,0.27539915,0.0357515556365862,-0.004253398,0.008908144,-0.008908144,0.004253398,0.25321564,0.2841943,0.5035004865815088,0.26509273,0.5769093788188018,2022-02-17
4,"POLYGON ((-72.14632662759655 -39.20878363260635, -72.1048603940816 -39.20878363260635, -72.1048603940816 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.20878363260635))",0.047030583,0.0073379506,0.7220226,0.7254849,0.73149335,0.72480804,0.7252544,0.0165490556264919,0.0010349356,0.039797515,-0.039797515,-0.0010349356,0.7074735,0.8065882,1.3780954273219053,0.7387574,1.5675588718781492,2022-02-17
5,"POLYGON ((-72.1048603940816 -39.20878363260635, -72.02192792705168 -39.20878363260635, -72.02192792705168 -39.2502498661213, -71.98046169353672 -39.2502498661213, -71.98046169353672 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.2502498661213, -72.1048603940816 -39.2502498661213, -72.1048603940816 -39.20878363260635))",0.03976455,0.007979547,0.58580065,0.59086895,0.5963825,0.5907707,0.5944713,0.0205421431696856,-0.001027009,0.031965863,-0.031965863,0.001027009,0.5750705,0.6577111,1.1241444088474704,0.5985084,1.2773958315796432,2022-02-17
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.2502498661213, -72.14632662759655 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.2502498661213, -72.14632662759655 -39.2502498661213))",0.2503753,0.041339617,0.5470292,0.5890172,0.65283626,0.65628064,0.6308198,0.0422551680593156,0.018109426,0.21491256,-0.21491256,-0.018109426,0.60064775,1.2620488,1531124.422036824,0.64537305,2.235608691933042,2021-02-04
22,"POLYGON ((-72.14632662759655 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.2502498661213))",0.50279015,0.11088957,1.0067174,0.9599042,1.020442,0.98393464,0.9401824,0.0232915463113649,0.034753777,0.41655055,-0.41655055,-0.034753777,1.1097782,2.325622,2.6301090154339293,1.1724392,3.191940384404573,2021-02-04
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -71.98046169353672 -39.29171609963626, -71.98046169353672 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.20783192,0.003119123,0.29527107,0.3477395,0.4396846,0.36576954,0.41393855,0.0391503360661172,0.051499512,0.19242342,-0.19242342,-0.051499512,0.2951478,1.5767764,0.7204072994730382,0.38220194,0.9968741907959606,2021-01-20
